,threshold,Seen Cell True Prediction,Unseen Cell Assignment,Method
0,0.0,0.0,0.0,PoLIE
1,0.01,0.0,0.0,PoLIE
2,0.02,8.026970621287526e-05,0.0,PoLIE
3,0.03,0.007304543265371648,0.00024703557312252963,PoLIE
4,0.04,0.03820838015732862,0.0029644268774703555,PoLIE
5,0.05,0.08776689677315781,0.007905138339920948,PoLIE
6,0.06,0.14156365387702682,0.023468379446640316,PoLIE
7,0.07,0.1925349173222026,0.04940711462450593,PoLIE
8,0.08,0.2368759030341949,0.08769762845849802,PoLIE
9,0.09,0.27518863380960024,0.13957509881422925,PoLIE
10,0.1,0.3066864665275325,0.1966403162055336,PoLIE
11,0.11,0.33483705249638784,0.25,PoLIE
12,0.12,0.36135816342912186,0.30854743083003955,PoLIE
13,0.13,0.3859768823246107,0.3601778656126482,PoLIE
14,0.14,0.41096484186867877,0.4058794466403162,PoLIE
15,0.15,0.43620163750200674,0.441699604743083,PoLIE
16,0.16,0.462144806550008,0.4760375494071146,PoLIE
17,0.17,0.48825654198105634,0.5044466403162056,PoLIE
18,0.18,0.5143281425589983,0.5271739130434783,PoLIE
19,0.19,0.5390431851019425,0.549901185770751,PoLIE
20,0.2,0.5619120244019907,0.5718873517786561,PoLIE
21,0.21,0.5830470380478407,0.592391304347826,PoLIE
22,0.22,0.6024963878632205,0.6054841897233202,PoLIE
23,0.23,0.6202038850537807,0.6200592885375494,PoLIE
24,0.24,0.6352223470862096,0.6316699604743083,PoLIE
25,0.25,0.6492855996147054,0.6432806324110671,PoLIE
26,0.26,0.6619922941082036,0.6583498023715415,PoLIE
27,0.27,0.6739043185101943,0.6692193675889329,PoLIE
28,0.28,0.6849414031144646,0.6798418972332015,PoLIE
29,0.29,0.6943249317707497,0.6850296442687747,PoLIE
30,0.3,0.7030984106598169,0.6924407114624506,PoLIE
31,0.31,0.7110611655161342,0.7010869565217391,PoLIE
32,0.32,0.7183657087815059,0.7092391304347826,PoLIE
33,0.33,0.7249076898378551,0.7151679841897233,PoLIE
34,0.34,0.731353347246749,0.7213438735177866,PoLIE
35,0.35000000000000003,0.7371969818590464,0.7257905138339921,PoLIE
36,0.36,0.7425830791459304,0.7299901185770751,PoLIE
37,0.37,0.7476721785198266,0.7359189723320159,PoLIE
38,0.38,0.7528254936586932,0.7435770750988142,PoLIE
39,0.39,0.757256381441644,0.7485177865612648,PoLIE
40,0.4,0.7619280783432333,0.7544466403162056,PoLIE
41,0.41000000000000003,0.7665516134210949,0.763092885375494,PoLIE
42,0.42,0.7704125862899341,0.7682806324110671,PoLIE
43,0.43,0.7741451276288329,0.7724802371541502,PoLIE
44,0.44,0.7772114304061647,0.7791501976284585,PoLIE
45,0.45,0.7799406004174024,0.7840909090909091,PoLIE
46,0.46,0.7825172579868358,0.7892786561264822,PoLIE
47,0.47000000000000003,0.7848852143201156,0.7924901185770751,PoLIE
48,0.48,0.7869722266816503,0.7971837944664032,PoLIE
49,0.49,0.7887461871889548,0.8013833992094862,PoLIE
